Time[sec],Pressure_sf[Pa],Temperature_sf[K]
0.0,6973493.407581917,-3480471.2705676723
0.1001001001001001,6547785.431255631,-3267811.461741115
0.2002002002002002,6770884.148386211,-3379258.2956878003
0.3003003003003003,6736492.241054513,-3362078.03543446
0.4004004004004004,7017116.745753883,-3502263.3806209336
0.5005005005005005,6522397.060420796,-3255129.0534813954
0.6006006006006006,6417320.961905785,-3202639.9924135734
0.7007007007007008,6847421.518256373,-3417492.1981874644
0.8008008008008008,6561664.5039480245,-3274744.569514687
0.9009009009009009,6774631.274518013,-3381130.1513082953
1.001001001001001,6577131.301305941,-3282470.8122161324
1.1011011011011012,6661963.070350832,-3324847.5966364704
1.2012012012012012,6592550.778060582,-3290173.4248801745
1.3013013013013013,6575011.914131084,-3281412.09870146
1.4014014014014016,6922866.623460601,-3455180.6544732554
1.5015015015015016,6644144.332233374,-3315946.4197260845
1.6016016016016017,6942659.267152943,-3465068.062126658
1.7017017017017018,6419308.514400099,-3203632.838325678
1.8018018018018018,6868493.464384418,-3428018.6292680004
1.9019019019019021,6755334.466584968,-3371490.545332781
2.002002002002002,6675431.963248688,-3331575.8580423687
2.1021021021021022,6952421.349551068,-3469944.71136712
2.2022022022022023,6777272.188187451,-3382449.405046872
2.3023023023023024,6442417.3963473365,-3215176.4730305932
2.4024024024024024,6763954.386141145,-3375796.573481334
2.5025025025025025,6851792.259572055,-3419675.5884423545
2.6026026026026026,6667662.304802544,-3327694.59595759
2.702702702702703,7011498.648964789,-3499456.847748262
2.802802802802803,6909708.9593266575,-3448607.7553960164
2.902902902902903,6888693.184331127,-3438109.3559580757
3.0030030030030033,6915719.140460364,-3451610.135181111
3.1031031031031033,6704751.846888294,-3346222.3574334905
3.2032032032032034,7008506.272175629,-3497961.999611885
3.3033033033033035,7001782.3564824695,-3494603.0543898353
3.4034034034034035,6926585.90281526,-3457038.61809361
3.5035035035035036,6427108.549496091,-3207529.2062183917
3.6036036036036037,6755598.451733376,-3371622.417463558
3.7037037037037037,6786490.212229957,-3387054.21953577
3.8038038038038042,6637512.589216385,-3312633.599959846
3.9039039039039043,6474075.182548723,-3230990.5936024403
4.004004004004004,6651787.7468149755,-3319764.6116203666
4.104104104104104,7040278.744439141,-3513834.01971857
4.2042042042042045,6539849.141997467,-3263846.996140991
