Time[sec],Pressure_sf[Pa],Temperature_sf[K]
0.0,6867873.337117488,-3427708.8462367957
0.1001001001001001,7028344.705896324,-3507872.336350449
0.2002002002002002,6475528.872481983,-3231716.761099463
0.3003003003003003,6903633.197335788,-3445572.6159599554
0.4004004004004004,6487430.743716439,-3237662.152892015
0.5005005005005005,6608323.060718019,-3298052.2860716484
0.6006006006006006,6615859.090656621,-3301816.8256433303
0.7007007007007008,6866650.2464885665,-3427097.8543974725
0.8008008008008008,6413973.790357354,-3200967.9737115805
0.9009009009009009,6574311.161764821,-3281062.0466034943
1.001001001001001,6467868.4891461,-3227890.14029016
1.1011011011011012,6570415.162639983,-3279115.849184531
1.2012012012012012,6886761.400531028,-3437144.336932571
1.3013013013013013,6773543.358655391,-3380586.689056754
1.4014014014014016,6842449.713212354,-3415008.549181703
1.5015015015015016,6592883.147997761,-3290339.4563443745
1.6016016016016017,6675487.5955762435,-3331603.6486722017
1.7017017017017018,6430595.470591471,-3209271.0359435985
1.8018018018018018,6804258.762471971,-3395930.4115806418
1.9019019019019021,6739446.993282983,-3363554.0616914956
2.002002002002002,6952776.702315559,-3470122.227934422
2.1021021021021022,6987667.524868449,-3487551.9673878397
2.2022022022022023,6562382.921680522,-3275103.4458060693
2.3023023023023024,6644021.763552085,-3315885.1917742933
2.4024024024024024,6495473.196559644,-3241679.6360630407
2.5025025025025025,6888297.989867348,-3437911.9372844435
2.6026026026026026,6930549.976787084,-3459018.8692035503
2.702702702702703,6426029.23937162,-3206990.0560359014
2.802802802802803,6494115.438471287,-3241001.3888062886
2.902902902902903,6872997.815326853,-3430268.766939162
3.0030030030030033,6877146.616168496,-3432341.291003986
3.1031031031031033,6509776.360199405,-3248824.5663904175
3.2032032032032034,6797857.706856557,-3392732.7944541667
3.3033033033033035,6432482.102650607,-3210213.4697853723
3.4034034034034035,6742690.7722851,-3365174.4696362573
3.5035035035035036,6773339.3953991365,-3380484.8003634606
3.6036036036036037,6478711.957204432,-3233306.820299007
3.7037037037037037,6582056.510129016,-3284931.1396624777
3.8038038038038042,7036627.949527048,-3512010.2541120183
3.9039039039039043,6895627.464305784,-3441573.363705774
4.004004004004004,6485225.06861762,-3236560.34234953
4.104104104104104,6787210.951739582,-3387414.261213823
4.2042042042042045,6988442.19878759,-3487938.956833605
4.3043043043043046,7033169.433822794,-3510282.5425540344
4.404404404404405,6610489.130329122,-3299134.3217461114
4.504504504504505,6614217.451308228,-3300996.762876712
4.604604604604605,6811229.152372473,-3399412.438519323
4.704704704704705,6581340.619067319,-3284573.525041122
4.804804804804805,6790612.731225725,-3389113.6027202
4.904904904904905,6762208.298998707,-3374924.326115095
5.005005005005005,6642830.8476230195,-3315290.2817287147
5.105105105105105,6580310.335218707,-3284058.859381069
5.205205205205205,6602332.519070278,-3295059.7793251514
5.305305305305305,6981018.554052786,-3484230.46545868
5.405405405405406,6673247.8537257705,-3330484.805820504
5.505505505505506,6705451.559172429,-3346571.8931345465
5.605605605605606,6963882.991023711,-3475670.3794471417
5.705705705705706,6980660.693505074,-3484051.6958017354
5.805805805805806,6438931.317174352,-3213435.062375744
5.9059059059059065,6679986.472195908,-3333851.022454342
6.0060060060060065,6506436.34045521,-3247156.1090947804
6.106106106106107,6749889.211129589,-3368770.402532203
6.206206206206207,6747984.271666482,-3367818.8023510934
6.306306306306307,6708087.741398161,-3347888.777128611
6.406406406406407,6790052.076094062,-3388833.5302961385
6.506506506506507,6976419.009521517,-3481932.757899256
6.606606606606607,7049735.681529289,-3518558.2631238503
6.706706706706707,6556833.007404781,-3272331.058345703
6.806806806806807,6884251.232971285,-3435890.3875522697
6.906906906906907,6496209.719480585,-3242047.554834768
7.007007007007007,7035659.816581722,-3511526.620450987
7.107107107107107,7041231.535521975,-3514309.989446569
7.207207207207207,6909938.544331764,-3448722.44432682
7.307307307307307,6478890.505962692,-3233396.0114939483
7.407407407407407,6582767.269927597,-3285286.191041923
7.507507507507508,6800599.146282368,-3394102.267414938
7.6076076076076085,6979863.074615693,-3483653.2443634956
7.7077077077077085,6659085.982989427,-3323410.3749516904
7.807807807807809,6739643.932727989,-3363652.4414541563
7.907907907907909,6723833.069439257,-3355754.2362317936
8.008008008008009,6669350.2270563645,-3328537.781963616
8.108108108108109,6898535.842566676,-3443026.239579935
8.208208208208209,6699938.353541752,-3343817.815606264
8.308308308308309,6755210.76395744,-3371428.7504592454
8.408408408408409,6525098.589875983,-3256478.563935025
8.508508508508509,6468169.0959884785,-3228040.3035447598
8.608608608608609,6450741.979704485,-3219334.8766834256
8.70870870870871,7033737.137783037,-3510566.140688989
8.80880880880881,6881972.751975875,-3434752.1769289905
8.90890890890891,6579485.478985194,-3283646.812593425
9.00900900900901,6907484.368662395,-3447496.463723552
9.10910910910911,6799583.754896681,-3393595.033472598
9.20920920920921,7011371.696576165,-3499393.4284089543
9.30930930930931,6909747.918949324,-3448627.2176315323
9.40940940940941,6984950.386888238,-3486194.6174408905
9.50950950950951,6445180.487901261,-3216556.7280176287
9.60960960960961,6980130.819355274,-3483786.996555386
9.70970970970971,6736107.252520068,-3361885.717068264
9.80980980980981,6711621.144886714,-3349653.861284698
9.90990990990991,6663848.686473671,-3325789.5384289864
10.01001001001001,7034851.440563818,-3511122.793855858
10.11011011011011,6671131.302100425,-3329427.50169386
10.21021021021021,7019457.2818593485,-3503432.600987852
10.31031031031031,7004142.614039451,-3495782.1254993207
10.41041041041041,6909322.702009081,-3448414.800991804
10.51051051051051,6498992.151388574,-3243437.4763565552
10.61061061061061,7031153.255691792,-3509275.3550924025
10.710710710710712,6447146.876043486,-3217539.0036507
10.810810810810812,6562469.494110464,-3275146.691945566
10.910910910910912,7029880.063584252,-3508639.328457164
11.011011011011012,6435644.657453672,-3211793.2686686995
11.111111111111112,6642078.083639739,-3314914.2460955493
11.211211211211213,6534707.935646772,-3261278.7774684015
11.311311311311313,7030719.721234673,-3509058.7817506744
11.411411411411413,6991210.440747423,-3489321.8361551063
11.511511511511513,7009922.493942761,-3498669.476147015
11.611611611611613,6672342.301700574,-3330032.445518213
11.711711711711713,6756081.065633854,-3371863.504226918
11.811811811811813,6661382.734189243,-3324557.6951919678
11.911911911911913,6683266.421995899,-3335489.4926284784
12.012012012012013,6521427.092120192,-3254644.519734173
12.112112112112113,6549450.188420355,-3268643.068874245
12.212212212212213,7040327.262133427,-3513858.256881895
12.312312312312313,6703343.40855546,-3345518.7833277555
12.412412412412413,6834234.536833943,-3410904.68639137
12.512512512512513,7007132.656108853,-3497275.806904389
12.612612612612613,6979370.034686003,-3483406.9457068937
12.712712712712714,6927310.687592468,-3457400.683917415
12.812812812812814,6587966.427937387,-3287883.367486397
12.912912912912914,6421136.936235418,-3204546.193521464
13.013013013013014,6574333.460116791,-3281073.1854666327
13.113113113113114,6554247.195020339,-3271039.3497873098
13.213213213213214,6933123.2102986295,-3460304.326951622
13.313313313313314,6621536.177729498,-3304652.7523795064
13.413413413413414,6446300.083670339,-3217116.0029570316
13.513513513513514,6819018.87106789,-3403303.759391551
13.613613613613614,6814310.619536095,-3400951.77210458
13.713713713713714,6578742.28377942,-3283275.55858842
13.813813813813814,6945373.808913237,-3466424.1114253374
13.913913913913914,6942011.416036797,-3464744.428145876
14.014014014014014,6434935.191088334,-3211438.8671352905
14.114114114114114,6869434.66314747,-3428488.802789374
14.214214214214214,6871815.078188535,-3429677.9333839403
14.314314314314315,6869005.553396741,-3428274.442067832
14.414414414414415,6408288.695749036,-3198128.0889812196
14.514514514514515,6658200.771907345,-3322968.176214678
14.614614614614615,6887192.16945563,-3437359.526741767
14.714714714714715,6733135.63783107,-3360401.267621877
14.814814814814815,6570210.0505267065,-3279013.388019887
14.914914914914915,6995063.555970834,-3491246.665911941
15.015015015015017,6803570.1468479335,-3395586.416829451
15.115115115115117,6545421.7024318315,-3266630.692850732
15.215215215215217,6843228.135020648,-3415397.4072049796
15.315315315315317,6551781.661457131,-3269807.7251517465
15.415415415415417,6533043.471697499,-3260447.317676772
15.515515515515517,6512999.342944415,-3250434.5599675607
15.615615615615617,6483209.93433711,-3235553.713649221
15.715715715715717,6837929.156473346,-3412750.3205067446
15.815815815815817,6867850.398552375,-3427697.387333986
15.915915915915917,6649477.429217016,-3318610.515180847
16.016016016016017,6719267.756648995,-3353473.6680126353
16.116116116116117,6934569.009518215,-3461026.5754547114
16.216216216216218,6439518.457001033,-3213728.3579068272
16.316316316316318,6755040.475071892,-3371343.6837128666
16.416416416416418,6899474.242523191,-3443495.0158898365
16.516516516516518,6811824.236733357,-3399709.7103116577
16.616616616616618,6487646.913470955,-3237770.1371256583
16.716716716716718,6712734.437665743,-3350209.9980982337
16.816816816816818,6850737.021507014,-3419148.4474851894
