Time[sec],Pressure_sf[Pa],Temperature_sf[K]
0.0,6403037.808741158,-3195505.105742406
0.1001001001001001,6769947.849332393,-3378790.572876164
0.2002002002002002,6461135.085518483,-3224526.578973575
0.3003003003003003,6647427.4731447175,-3317586.4799359688
0.4004004004004004,6694158.572733802,-3340930.573708146
0.5005005005005005,6578571.41353854,-3283190.2024683445
0.6006006006006006,6683804.885917184,-3335758.4775960585
0.7007007007007008,6833346.64902435,-3410461.145257895
0.8008008008008008,6782125.6904360205,-3384873.945717992
0.9009009009009009,7036839.556099583,-3512115.962801829
1.001001001001001,6733719.797814996,-3360693.0806545843
1.1011011011011012,6648959.89436757,-3318351.9857608457
1.2012012012012012,7048199.915043222,-3517791.065832779
1.3013013013013013,6519014.343811238,-3253439.2660804507
1.4014014014014016,6646451.724613626,-3317099.054476077
1.5015015015015016,6781396.974732945,-3384509.919698372
1.6016016016016017,6884789.397611797,-3436159.226646751
1.7017017017017018,6635288.649881608,-3311522.654028327
1.8018018018018018,6847612.908531764,-3417587.8065921175
1.9019019019019021,6533764.762694838,-3260807.6285399264
2.002002002002002,6475869.722578559,-3231887.0273108645
2.1021021021021022,7019607.069555589,-3503507.4277929887
2.2022022022022023,6792021.117447549,-3389817.1549520995
2.3023023023023024,6942519.598917554,-3464998.2908680676
2.4024024024024024,7017172.958043983,-3502291.4616018296
2.5025025025025025,6686652.534637359,-3337180.995906872
2.6026026026026026,6565948.3911788855,-3276884.5302729444
2.702702702702703,6695471.867922667,-3341586.619402589
2.802802802802803,6499581.575134824,-3243731.9140558136
2.902902902902903,6944374.224389544,-3465924.7689626273
3.0030030030030033,6861094.141790949,-3424322.3169277846
3.1031031031031033,6687168.816811494,-3337438.9002354015
3.2032032032032034,6817719.122180496,-3402654.475217546
3.3033033033033035,7031965.8880173005,-3509681.3078429233
3.4034034034034035,6676636.956936678,-3332177.801846079
3.5035035035035036,6794088.184951446,-3390849.748215772
3.6036036036036037,6459748.289280888,-3223833.827867514
3.7037037037037037,7017395.292255985,-3502402.52917805
3.8038038038038042,6891582.925531104,-3439552.9210598865
3.9039039039039043,6861521.536560448,-3424535.8208231996
4.004004004004004,6535403.795010729,-3261626.3843544098
4.104104104104104,6473965.123081128,-3230935.6151632452
4.2042042042042045,6827014.23715728,-3407297.8126467485
4.3043043043043046,6874816.34917879,-3431177.211336845
4.404404404404405,6910822.580613311,-3449164.0636719675
4.504504504504505,6913822.821322158,-3450662.8307846687
4.604604604604605,7014122.4345161915,-3500767.565589712
4.704704704704705,6747534.758027101,-3367594.2507394347
4.804804804804805,6737422.184198936,-3362542.5821369495
4.904904904904905,6585892.368344283,-3286847.296010851
5.005005005005005,6937870.524729271,-3462675.846497775
5.105105105105105,6683980.890172132,-3335846.3989926493
5.205205205205205,6648643.684362215,-3318194.0261818697
5.305305305305305,6667810.852159079,-3327768.8014165997
5.405405405405406,6531822.941552453,-3259837.6188986944
5.505505505505506,6989239.743506859,-3488337.371439861
5.605605605605606,6664601.32532608,-3326165.5121203973
5.705705705705706,6704277.862986547,-3345985.582558308
5.805805805805806,6918926.966296446,-3453212.6017503706
5.9059059059059065,6658779.706581905,-3323257.3774960185
6.0060060060060065,6433846.3167151455,-3210894.9389927187
6.106106106106107,6514800.149685692,-3251334.1266226224
6.206206206206207,7028293.287545438,-3507846.6501747863
6.306306306306307,6508588.343822715,-3248231.1103945537
6.406406406406407,6977315.877702801,-3482380.7893380835
6.506506506506507,7011471.323397536,-3499443.197202213
6.606606606606607,6464728.268823617,-3226321.494541775
6.706706706706707,6570186.776736628,-3279001.7618922056
6.806806806806807,6644793.988766856,-3316270.9491210207
6.906906906906907,6861229.262622131,-3424389.8161710827
7.007007007007007,7047787.205706803,-3517584.895514434
